House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
29,Stoke Stravenue,Roger,Owen,15,Son,NA,Male,Student,None,Christian
30,Stoke Stravenue,Leon,Kaur,32,Head,Single,Male,Futures trader,None,Christian
30,Stoke Stravenue,Julie,Hall,33,Partner,Single,Female,Training and development officer,None,Christian
31,Stoke Stravenue,Jenna,Baker,43,Head,Married,Female,Firefighter,None,Christian
31,Stoke Stravenue,Mohamed,Baker,44,Husband,Married,Male,"Production designer, theatre/television/film",None,No Religion
31,Stoke Stravenue,Linda,Baker,7,Daughter,NA,Female,Student,None,Christian
32,Stoke Stravenue,Stanley,Greenwood,74,Head,Widowed,Male,"Retired Scientist, research (physical sciences)",None,Christian
33,Stoke Stravenue,Anna,Bruce,41,Head,Divorced,Female,"Therapist, music",None,No Religion
33,Stoke Stravenue,Clare,Bruce,13,Daughter,NA,Female,Student,None,NA
33,Stoke Stravenue,Teresa,Bruce,9,Daughter,NA,Female,Student,None,NA
34,Stoke Stravenue,Margaret,Wilson,45,Head,Married,Female,"Scientist, marine",None,No Religion
34,Stoke Stravenue,Liam,Wilson,48,Husband,Married,Male,Control and instrumentation engineer,None,No Religion
34,Stoke Stravenue,Tracy,Wilson,19,Daughter,Single,Female,University Student,None,No Religion
34,Stoke Stravenue,Gavin,Wilson,18,Son,Single,Male,Student,None,No Religion
34,Stoke Stravenue,Guy,Wilson,16,Son,NA,Male,Student,None,NA
35,Stoke Stravenue,Brenda,Dixon,35,Head,Divorced,Female,Unemployed,None,No Religion
35,Stoke Stravenue,Joseph,Dixon,5,Son,NA,Male,Student,None,NA
35,Stoke Stravenue,Susan,Dixon,2,Daughter,NA,Female,Child,None,NA
36,Stoke Stravenue,Rita,Short,44,Head,Married,Female,Records manager,None,Christian
36,Stoke Stravenue,James,Short,42,Husband,Married,Male,"Engineer, control and instrumentation",None,No Religion
36,Stoke Stravenue,Katherine,Short,1,Daughter,NA,Female,Child,None,No Religion
37,Stoke Stravenue,Jason,Price,40,Head,Married,Male,Toxicologist,None,Christian
37,Stoke Stravenue,Denise,Price,38,Wife,Married,Female,Diagnostic radiographer,None,No Religion
37,Stoke Stravenue,Henry,Clarke,29,Visitor,Single,Male,Trade mark attorney,None,Christian
37,Stoke Stravenue,Tony,Murphy,57,Lodger,Divorced,Male,Soil scientist,None,No Religion
37,Stoke Stravenue,Sian,Wilson,23,Lodger,Single,Female,Radio producer,None,No Religion
38,Stoke Stravenue,Steven,Dobson,55,Head,Single,Male,Armed forces operational officer,Disabled,Christian
39,Stoke Stravenue,Janet,Douglas,43,Head,Divorced,Female,Unemployed,None,Christian
39,Stoke Stravenue,Chloe,King-Douglas,11,Daughter,NA,Female,Student,None,NA
39,Stoke Stravenue,Derek,King-Douglas,7,Son,NA,Male,Student,None,NA
40,Stoke Stravenue,Kate,Oliver-Bradley,43,Head,Single,Female,Rural practice surveyor,None,Christian
40,Stoke Stravenue,Gerald,Akhtar,51,Partner,Single,Male,Logistics and distribution manager,None,No Religion
40,Stoke Stravenue,Olivia,Oliver-Bradley,10,Daughter,NA,Female,Student,None,Christian
41,Stoke Stravenue,Kelly,Hart,78,Head,Widowed,Female,"Retired Surveyor, building control",None,No Religion
1,Phillips Prairie,Abbie,Ford,42,Head,Married,Female,Media buyer,None,Christian
1,Phillips Prairie,Ronald,Ford,45,Husband,Married,Male,Chief Executive Officer,None,Christian
1,Phillips Prairie,Frances,Ford,19,Daughter,Single,Female,University Student,None,Christian
1,Phillips Prairie,Bernard,Ford,19,Son,Single,Male,University Student,None,No Religion
1,Phillips Prairie,Harriet,Ford,17,Daughter,NA,Female,Student,None,NA
2,Phillips Prairie,Karen,Wilson,35,Head,Married,Female,Naval architect,None,Christian
2,Phillips Prairie,Derek,Wilson,37,Husband,Married,Male,Economist,None,No Religion
2,Phillips Prairie,Joshua,Wilson,11,Son,NA,Male,Student,None,Christian
2,Phillips Prairie,Damian,Wilson,6,Son,NA,Male,Student,None,Christian
2,Phillips Prairie,Luke,Wilson,5,Son,NA,Male,Student,None,Christian
3,Phillips Prairie,Danielle,Pratt,65,Head,Married,Female,Network engineer,None,No Religion
3,Phillips Prairie,Nigel,Pratt,67,Husband,Married,Male,Broadcast engineer,None,No Religion
3,Phillips Prairie,Victor,Pratt,37,Son,Divorced,Male,"Radiographer, diagnostic",None,No Religion
3,Phillips Prairie,Yvonne,Pratt,36,Daughter,Single,Female,"Education officer, environmental",None,No Religion
3,Phillips Prairie,Anna,Holland-Pratt,32,Daughter,Single,Female,Photographer,None,No Religion
4,Phillips Prairie,Shirley,Rees,55,Head,Married,Female,"Engineer, aeronautical",None,Christian
4,Phillips Prairie,Leslie,Rees,60,Husband,Married,Male,Television floor manager,None,No Religion
4,Phillips Prairie,Stacey,Rees,25,Daughter,Single,Female,Barrister's clerk,None,Christian
4,Phillips Prairie,Shaun,Rees,21,Son,Divorced,Male,University Student,None,No Religion
4,Phillips Prairie,Brenda,Rees,19,Daughter,Single,Female,University Student,None,Christian
4,Phillips Prairie,Julian,Rees,16,Son,NA,Male,Student,None,
4,Phillips Prairie,Georgia,Rees,12,Daughter,NA,Female,Student,None,Christian
5,Phillips Prairie,Ann,Phillips,31,Head,Single,Female,Unemployed,None,Hindu
5,Phillips Prairie,Anthony,Hunt,13,Son,NA,Male,Student,None,NA
5,Phillips Prairie,Shane,Hunt,11,Son,NA,Male,Student,None,NA
5,Phillips Prairie,Mohammad,Hunt,8,Son,NA,Male,Student,None,NA
5,Phillips Prairie,Lesley,Hunt,7,Daughter,NA,Female,Student,None,NA
5,Phillips Prairie,Hazel,Hunt,4,Daughter,NA,Female,Child,Unknown Infection,NA
5,Phillips Prairie,Stephen,Hunt,2,Son,NA,Male,Child,None,NA
5,Phillips Prairie,Frances,Williams,41,Lodger,Single,Female,"Research officer, trade union",None,No Religion
5,Phillips Prairie,Susan,Gray,45,Lodger,Single,Female,"Surveyor, land/geomatics",None,No Religion
5,Phillips Prairie,Elizabeth,Clayton,21,Lodger,Single,Female,University Student,None,No Religion
5,Phillips Prairie,Charlotte,Ward,36,Lodger,Divorced,Female,"Civil engineer, consulting",None,Christian
5,Phillips Prairie,Justin,Oliver,56,Lodger,Divorced,Male,Broadcast presenter,None,Christian
6,Phillips Prairie,Kenneth,Lynch,50,Head,Single,Male,Learning mentor,None,No Religion
6,Phillips Prairie,Kathleen,Thomas,33,None,Single,Female,"Programme researcher, broadcasting/film/video",None,No Religion
6,Phillips Prairie,Marilyn,Ali,32,None,Single,Female,"Merchandiser, retail",None,Christian
6,Phillips Prairie,Owen,Atkinson,42,None,Single,Male,Senior tax professional/tax inspector,None,No Religion
6,Phillips Prairie,Chelsea,Russell,53,None,Single,Female,Airline pilot,None,No Religion
6,Phillips Prairie,Eleanor,Wood,55,None,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
6,Phillips Prairie,Jamie,Jones,29,None,Single,Male,Cabin crew,None,No Religion
6,Phillips Prairie,Ronald,Taylor,24,None,Single,Male,Glass blower/designer,None,Christian
6,Phillips Prairie,Damien,Dickinson,54,None,Single,Male,Geophysical data processor,None,Christian
6,Phillips Prairie,Keith,Barnes,45,None,Single,Male,"Conservator, museum/gallery",None,No Religion
6,Phillips Prairie,Graeme,Walker,35,None,Single,Male,Sports coach,None,No Religion
7,Phillips Prairie,Molly,Cooper,54,Head,Married,Female,"Surveyor, insurance",None,No Religion
7,Phillips Prairie,Robin,Cooper,58,Husband,Married,Male,Diplomatic Services operational officer,None,No Religion
7,Phillips Prairie,Julie,Cooper,18,Daughter,Single,Female,Student,None,No Religion
7,Phillips Prairie,Adam,Cooper,16,Son,NA,Male,Student,None,No Religion
7,Phillips Prairie,Norman,Cooper,12,Son,NA,Male,Student,None,No Religion
8,Phillips Prairie,Jessica,Wall,48,Head,Married,Female,Solicitor,None,Christian
8,Phillips Prairie,Cameron,Wall,51,Husband,Married,Male,"Engineer, aeronautical",None,Christian
8,Phillips Prairie,Graham,Wall,24,Son,Single,Male,"Pharmacist, community",None,Christian
8,Phillips Prairie,Danielle,Wall,21,Daughter,Single,Female,University Student,None,Christian
8,Phillips Prairie,Carly,Wall,19,Daughter,Single,Female,University Student,None,No Religion
8,Phillips Prairie,Barbara,Wall,15,Daughter,NA,Female,Student,None,Christian
8,Phillips Prairie,Guy,Wall,12,Son,NA,Male,Student,None,Christian
8,Phillips Prairie,Vincent,Wall,8,Son,NA,Male,Student,None,Christian
8,Phillips Prairie,Donna,Wall,7,Daughter,NA,Female,Student,None,No Religion
8,Phillips Prairie,Georgina,Wall,4,Daughter,NA,Female,Child,None,No Religion
9,Phillips Prairie,Abbie,Stone,48,Head,Single,Female,Unemployed,None,Christian
9,Phillips Prairie,Janice,Miller,56,None,Single,Female,Environmental manager,None,No Religion
9,Phillips Prairie,Gerard,Hill,53,None,Single,Male,Maintenance engineer,None,Muslim
9,Phillips Prairie,Gerald,Robinson,64,None,Single,Male,Unemployed,None,Christian
10,Phillips Prairie,Kathleen,Lawson,72,Head,Widowed,Female,Retired Public affairs consultant,None,Christian
10,Phillips Prairie,Diana,Lawson,52,Daughter,Divorced,Female,Health and safety adviser,None,Christian
10,Phillips Prairie,Martin,Lawson,51,Son,Single,Male,"Surveyor, land/geomatics",None,Christian
10,Phillips Prairie,Heather,Lawson,48,Daughter,Single,Female,Restaurant manager,None,Christian
10,Phillips Prairie,Gail,Lawson,45,Daughter,Single,Female,"Editor, film/video",None,No Religion
11,Phillips Prairie,Bethan,Wilson,36,Head,Married,Female,Quantity surveyor,None,Christian
11,Phillips Prairie,Simon,Wilson,38,Husband,Married,Male,Maintenance engineer,None,Christian
11,Phillips Prairie,Josephine,Wilson,5,Daughter,NA,Female,Student,None,Christian
11,Phillips Prairie,Hilary,Wilson,4,Daughter,NA,Female,Child,None,Christian
11,Phillips Prairie,Paige,Wilson,1,Daughter,NA,Female,Child,None,Christian
11,Phillips Prairie,Malcolm,Banks,0,Lodger,Single,Male,Child,None,
11,Phillips Prairie,Jeffrey,Skinner,53,Lodger,Single,Male,Horticultural therapist,None,Christian
11,Phillips Prairie,Mathew,Wilkinson,39,Lodger,Divorced,Male,Tax adviser,None,Christian
11,Phillips Prairie,Valerie,Wright,53,Lodger,Single,Female,Unemployed,None,Christian
11,Phillips Prairie,Declan,Perry,37,Lodger,Divorced,Male,Chief Technology Officer,None,Christian
11,Phillips Prairie,Martyn,Carter,62,Lodger,Divorced,Male,Proofreader,None,Christian
12,Phillips Prairie,Patricia,Vaughan,50,Head,Single,Female,Psychiatrist,None,Christian
12,Phillips Prairie,Patrick,Price,49,Partner,Single,Male,Commercial art gallery manager,None,Christian
12,Phillips Prairie,Nathan,Vaughan,16,Son,NA,Male,Student,None,Christian
12,Phillips Prairie,Craig,Vaughan,14,Son,NA,Male,Student,None,No Religion
12,Phillips Prairie,Callum,Vaughan,13,Son,NA,Male,Student,None,Christian
12,Phillips Prairie,Joyce,Vaughan,11,Daughter,NA,Female,Student,None,Christian
12,Phillips Prairie,Francesca,Vaughan,9,Daughter,NA,Female,Student,None,No Religion
12,Phillips Prairie,Reece,Vaughan,6,Son,NA,Male,Student,None,No Religion
13,Phillips Prairie,Christine,Scott,71,Head,Married,Female,"Retired Designer, jewellery",None,Christian
13,Phillips Prairie,Timothy,Scott,74,Husband,Married,Male,Retired Actuary,None,Christian
13,Phillips Prairie,Frank,Scott,33,Son,Single,Male,"Accountant, chartered management",None,Christian
13,Phillips Prairie,Keith,Scott,29,Son,Single,Male,Proofreader,None,Christian
13,Phillips Prairie,Amelia,Scott,29,Daughter,Divorced,Female,Nature conservation officer,None,No Religion
14,Phillips Prairie,Maurice,Brennan,34,Head,Single,Male,Unemployed,None,No Religion
14,Phillips Prairie,Janice,Brennan,2,Daughter,NA,Female,Child,None,NA
14,Phillips Prairie,Shannon,Brennan,2,Daughter,NA,Female,Child,None,NA
14,Phillips Prairie,Richard,Murphy,30,Lodger,Single,Male,Hotel manager,None,No Religion
14,Phillips Prairie,Maureen,Jones,30,Lodger,Divorced,Female,Warehouse manager,None,No Religion
15,Phillips Prairie,Fiona,Ferguson,34,Head,Single,Female,Unemployed,None,Hindu
15,Phillips Prairie,Georgina,Ferguson,18,Daughter,Single,Female,Student,None,Hindu
15,Phillips Prairie,Cameron,Tyler-Ferguson,18,Son,Single,Male,Student,None,No Religion
15,Phillips Prairie,Amanda,Tyler-Ferguson,14,Daughter,NA,Female,Student,None,NA
15,Phillips Prairie,Eric,Tyler-Ferguson,14,Son,NA,Male,Student,None,NA
16,Phillips Prairie,Ross,Murphy,19,Head,Married,Male,University Student,None,No Religion
16,Phillips Prairie,Sara,Murphy,19,Wife,Married,Female,University Student,None,No Religion
17,Phillips Prairie,Marian,Gray,45,Head,Single,Female,Product designer,None,Christian
17,Phillips Prairie,Eric,Rose,46,Partner,Single,Male,Arts development officer,None,Christian
17,Phillips Prairie,Rachel,Gray,12,Daughter,NA,Female,Student,None,No Religion
17,Phillips Prairie,Kelly,Gray,11,Daughter,NA,Female,Student,None,No Religion
17,Phillips Prairie,Ann,Ellis-Gray,7,Daughter,NA,Female,Student,None,Christian
18,Phillips Prairie,Kirsty,Smith,53,Head,Married,Female,Trade union research officer,None,Christian
18,Phillips Prairie,Joseph,Smith,56,Husband,Married,Male,"Engineer, production",None,No Religion
18,Phillips Prairie,Denis,Smith,23,Son,Single,Male,Operational investment banker,None,Christian
18,Phillips Prairie,Dale,Smith,20,Son,Single,Male,University Student,None,Christian
18,Phillips Prairie,Brian,Smith,17,Son,NA,Male,Student,None,Christian
19,Phillips Prairie,Aimee,Miller,38,Head,Single,Female,Advertising copywriter,None,No Religion
19,Phillips Prairie,Jill,Jones,30,None,Single,Female,Systems developer,None,No Religion
19,Phillips Prairie,Robert,Williams,22,None,Single,Male,University Student,None,No Religion
19,Phillips Prairie,Sheila,Barker,31,None,Single,Female,"Surveyor, commercial/residential",None,No Religion
19,Phillips Prairie,Louise,Gibson,40,None,Single,Female,"Research officer, trade union",None,No Religion
19,Phillips Prairie,Marian,Archer,20,None,Single,Female,University Student,None,Christian
19,Phillips Prairie,Trevor,Knowles,46,None,Single,Male,"Psychologist, forensic",None,No Religion
20,Phillips Prairie,Gregory,James,45,Head,Single,Male,Horticultural therapist,None,No Religion
21,Phillips Prairie,Francis,Bell,29,Head,Divorced,Male,Unemployed,None,Christian
21,Phillips Prairie,Kathryn,Bell,8,Daughter,NA,Female,Student,None,NA
21,Phillips Prairie,Vanessa,Bell,4,Daughter,NA,Female,Child,None,NA
21,Phillips Prairie,Paula,Bell,1,Daughter,NA,Female,Child,None,NA
21,Phillips Prairie,Victoria,Bell,1,Daughter,NA,Female,Child,None,NA
22,Phillips Prairie,Hannah,Waters,38,Head,Single,Female,"Editor, commissioning",None,No Religion
22,Phillips Prairie,Nathan,Lyons,61,None,Divorced,Male,IT technical support officer,None,Christian
22,Phillips Prairie,Patricia,Robinson,48,None,Divorced,Female,Youth worker,None,No Religion
22,Phillips Prairie,Howard,Reed,32,None,Single,Male,Special educational needs teacher,None,No Religion
22,Phillips Prairie,Susan,Alexander,46,None,Single,Female,Trading standards officer,Sprained Ankle,Christian
22,Phillips Prairie,Joel,Wilkinson,42,None,Single,Male,Financial controller,None,No Religion
22,Phillips Prairie,Gerard,Foster,21,None,Single,Male,University Student,None,Christian
22,Phillips Prairie,George,Schofield,51,None,Single,Male,Tourism officer,None,Christian
22,Phillips Prairie,Kayleigh,Harris,24,None,Single,Female,Sports administrator,None,Hindu
22,Phillips Prairie,Charlotte,Gregory,22,None,Single,Female,University Student,None,No Religion
22,Phillips Prairie,George,Fraser,34,None,Single,Male,Trade union research officer,None,Christian
23,Phillips Prairie,Gail,Hancock,63,Head,Divorced,Female,Commissioning editor,None,Christian
23,Phillips Prairie,Emily,Hancock,31,Daughter,Single,Female,Occupational therapist,None,Christian
23,Phillips Prairie,Philip,Hancock,27,Son,Divorced,Male,"Optician, dispensing",None,Christian
23,Phillips Prairie,Suzanne,Hancock,23,Daughter,Single,Female,Database administrator,None,Christian
23,Phillips Prairie,Dean,Hancock,22,Son,Single,Male,University Student,None,Christian
23,Phillips Prairie,Colin,Hancock,18,Son,Single,Male,Student,None,No Religion
23,Phillips Prairie,Victoria,Hancock,17,Daughter,NA,Female,Student,None,NA
23,Phillips Prairie,Ricky,Hancock,15,Son,NA,Male,Student,None,NA
23,Phillips Prairie,Rachel,Hancock,14,Daughter,NA,Female,Student,None,NA
23,Phillips Prairie,Ronald,Hancock,12,Son,NA,Male,Student,None,NA
23,Phillips Prairie,Antony,Hancock,4,Son,NA,Male,Child,None,NA
23,Phillips Prairie,Lewis,Hancock,3,Son,NA,Male,Child,None,NA
23,Phillips Prairie,Lynda,Watson,20,Lodger,Single,Female,University Student,None,Christian
23,Phillips Prairie,Joe,Davies,58,Sibling,Single,Male,"Physicist, medical",None,Christian
23,Phillips Prairie,Carly,King,38,Lodger,Single,Female,General practice doctor,None,No Religion
23,Phillips Prairie,Kyle,Baker,42,Lodger,Single,Male,"Development worker, international aid",None,No Religion
23,Phillips Prairie,Debra,Baker,42,Lodger,Single,Female,Financial planner,None,Christian
23,Phillips Prairie,Eileen,Ward,23,Sibling,Divorced,Female,Fitness centre manager,None,No Religion
23,Phillips Prairie,Francis,Bradshaw,18,Visitor,Single,Male,Student,None,
23,Phillips Prairie,Justin,Briggs,63,Lodger,Widowed,Male,Special effects artist,None,Christian
24,Phillips Prairie,Joyce,Khan,44,Head,Married,Female,"Psychologist, clinical",None,No Religion
24,Phillips Prairie,Gregory,Khan,48,Husband,Married,Male,Dietitian,None,No Religion
24,Phillips Prairie,Julie,Khan,17,Daughter,NA,Female,Student,None,No Religion
24,Phillips Prairie,Lydia,Khan,15,Daughter,NA,Female,Student,None,No Religion
24,Phillips Prairie,Leigh,Wilson-Khan,12,Son,NA,Male,Student,None,No Religion
24,Phillips Prairie,Max,Wilson-Khan,8,Son,NA,Male,Student,None,No Religion
24,Phillips Prairie,Maureen,Wilson-Khan,6,Daughter,NA,Female,Student,None,No Religion
24,Phillips Prairie,Jayne,Wilson-Khan,4,Daughter,NA,Female,Child,None,No Religion
24,Phillips Prairie,Yvonne,Wilson-Khan,1,Daughter,NA,Female,Child,None,No Religion
24,Phillips Prairie,Gail,Douglas,59,Lodger,Single,Female,Translator,None,No Religion
24,Phillips Prairie,Abbie,Jones,53,Lodger,Single,Female,"Engineer, electrical",None,Christian
25,Phillips Prairie,Edward,Burke,41,Head,Married,Male,Academic librarian,None,No Religion
25,Phillips Prairie,Leah,Burke,39,Wife,Married,Female,"Engineer, aeronautical",None,No Religion
25,Phillips Prairie,Ryan,Burke,17,Son,NA,Male,Student,None,No Religion
25,Phillips Prairie,Paige,Burke,15,Daughter,NA,Female,Student,None,No Religion
25,Phillips Prairie,Leonard,Burke,12,Son,NA,Male,Student,None,No Religion
26,Phillips Prairie,Kathryn,Hopkins,61,Head,Married,Female,Music therapist,None,No Religion
26,Phillips Prairie,Allan,Hopkins,62,Husband,Married,Male,"Designer, ceramics/pottery",None,No Religion
26,Phillips Prairie,Dennis,Hopkins,41,Son,Single,Male,Biomedical engineer,None,No Religion
26,Phillips Prairie,Duncan,Hopkins,39,Son,Single,Male,Contractor,None,No Religion
26,Phillips Prairie,Samuel,Hopkins,39,Son,Single,Male,"Librarian, public",None,No Religion
26,Phillips Prairie,Emily,Hopkins,39,Daughter,Single,Female,"Pharmacist, community",None,No Religion
26,Phillips Prairie,Thomas,Hopkins,37,Son,Single,Male,Corporate investment banker,None,No Religion
1,Brown Place,Jill,Franklin,32,Head,Single,Female,Financial controller,None,Christian
1,Brown Place,Daniel,Lee,32,Partner,Single,Male,Systems developer,None,Christian
1,Brown Place,Annette,Cox,19,Lodger,Single,Female,University Student,None,Christian
2,Brown Place,Owen,Jones,60,Head,Single,Male,Technical author,None,Christian
2,Brown Place,Katherine,Gregory,54,Partner,Single,Female,Museum/gallery curator,None,Christian
3,Brown Place,Rachel,Whitehead,101,Head,Widowed,Female,"Retired Engineer, manufacturing",None,No Religion
4,Brown Place,Karen,Owen,47,Head,Divorced,Female,"Designer, fashion/clothing",None,Christian
5,Brown Place,Jason,Saunders,58,Head,Single,Male,Unemployed,None,Christian
6,Brown Place,Elizabeth,Smith,78,Head,Divorced,Female,Retired Facilities manager,None,Christian
7,Brown Place,Joe,McCarthy,24,Head,Divorced,Male,Aeronautical engineer,None,No Religion
8,Brown Place,Rosemary,Blake,84,Head,Widowed,Female,Retired Dance movement psychotherapist,None,Christian
8,Brown Place,George,Blake,42,Son,Divorced,Male,Hydrographic surveyor,None,Christian
9,Brown Place,Georgina,Walters,43,Head,Single,Female,Electronics engineer,None,Christian
9,Brown Place,Bernard,Walters,10,Son,NA,Male,Student,None,NA
10,Brown Place,Kathryn,Walters,76,Head,Widowed,Female,Retired Museum education officer,None,Christian
11,Brown Place,Lewis,Harper,46,Head,Single,Male,Rural practice surveyor,None,Christian
12,Brown Place,Rosie,Davies,60,Head,Married,Female,Fashion designer,None,Christian
12,Brown Place,Donald,Davies,64,Husband,Married,Male,Unemployed,None,Christian
12,Brown Place,Terence,Davies,24,Son,Single,Male,Broadcast engineer,None,No Religion
13,Brown Place,Mary,Parsons,84,Head,Married,Female,Retired Speech and language therapist,None,No Religion
13,Brown Place,Antony,Parsons,87,Husband,Married,Male,"Retired Psychologist, educational",None,No Religion
14,Brown Place,Brian,Blackburn,40,Head,Single,Male,Unemployed,None,Christian
15,Brown Place,Sally,Hutchinson,81,Head,Single,Female,"Retired Sound technician, broadcasting/film/video",None,Christian
16,Brown Place,Janet,Wilson,77,Head,Widowed,Female,Retired Public house manager,None,Christian
17,Brown Place,Jasmine,Kay,41,Head,Married,Female,Equities trader,None,Christian
17,Brown Place,Gordon,Kay,48,Husband,Married,Male,Metallurgist,None,No Religion
17,Brown Place,Naomi,Kay,7,Daughter,NA,Female,Student,None,No Religion
18,Brown Place,Amber,Akhtar,29,Head,Single,Female,Homeopath,None,Christian
18,Brown Place,Helen,Akhtar,4,Daughter,NA,Female,Child,None,NA
18,Brown Place,Francis,Akhtar,0,Son,NA,Male,Child,None,NA
1,The Avenue,Bruce,Marsh,24,Head,Single,Male,Chiropodist,None,Christian
2,The Avenue,Caroline,Murphy,55,Head,Single,Female,Magazine journalist,None,No Religion
3,The Avenue,Mandy,Adams,64,Head,Married,Female,"Doctor, hospital",None,Christian
3,The Avenue,Cameron,Adams,66,Husband,Married,Male,Computer games developer,None,Christian
4,The Avenue,Raymond,Simpson,72,Head,Divorced,Male,Retired Contracting civil engineer,None,No Religion
5,The Avenue,Amelia,Russell,36,Head,Single,Female,Unemployed,None,No Religion
5,The Avenue,Julia,Russell,16,Daughter,NA,Female,Student,None,NA
1,Leviathanarch Avenue,Christine,Taylor,64,Head,Married,Female,Ambulance person,None,No Religion
1,Leviathanarch Avenue,Samuel,Taylor,66,Husband,Married,Male,Ophthalmologist,None,No Religion
1,Leviathanarch Avenue,Jessica,Taylor,35,Daughter,Divorced,Female,Set designer,None,No Religion
1,Leviathanarch Avenue,Arthur,Taylor,32,Son,Divorced,Male,Illustrator,None,No Religion
2,Leviathanarch Avenue,Terry,Powell,53,Head,Single,Male,Phytotherapist,None,Christian
2,Leviathanarch Avenue,Raymond,Smart,34,None,Single,Male,Architect,None,No Religion
2,Leviathanarch Avenue,Jacqueline,Parker,38,None,Single,Female,Passenger transport manager,None,No Religion
2,Leviathanarch Avenue,Joe,Brown,50,None,Single,Male,Counselling psychologist,None,Christian
2,Leviathanarch Avenue,Glen,Smith,41,None,Single,Male,"Teacher, English as a foreign language",None,No Religion
2,Leviathanarch Avenue,Molly,Kelly,20,None,Single,Female,University Student,None,Christian
3,Leviathanarch Avenue,Rachael,Parkinson,56,Head,Divorced,Female,Print production planner,None,No Religion
3,Leviathanarch Avenue,Kathryn,Parkinson,15,Granddaughter,NA,Female,Student,None,NA
4,Leviathanarch Avenue,Suzanne,Patterson,46,Head,Married,Female,Records manager,None,No Religion
4,Leviathanarch Avenue,Raymond,Patterson,50,Husband,Married,Male,"Lecturer, further education",None,No Religion
4,Leviathanarch Avenue,Hannah,Patterson,12,Daughter,NA,Female,Student,None,No Religion
4,Leviathanarch Avenue,Frederick,Patterson,11,Son,NA,Male,Student,None,No Religion
1,Aethelstan Drive,Kayleigh,Saunders,68,Head,Married,Female,Retired Learning mentor,None,Christian
1,Aethelstan Drive,Shaun,Saunders,68,Husband,Married,Male,Retired Geochemist,None,Christian
2,Aethelstan Drive,Nicola,Richardson,46,Head,Single,Female,Optometrist,None,No Religion
2,Aethelstan Drive,Melissa,Walker,17,Niece,NA,Female,Student,None,NA
2,Aethelstan Drive,Denis,Walker,11,Nephew,NA,Male,Student,None,NA
2,Aethelstan Drive,Chloe,Pearce,3,Niece,NA,Female,Child,None,NA
3,Aethelstan Drive,Diane,Carter,54,Head,Single,Female,"Engineer, maintenance (IT)",None,Christian
3,Aethelstan Drive,Wayne,Harris,56,Partner,Single,Male,Commercial horticulturist,None,Christian
3,Aethelstan Drive,Paula,Carter,23,Daughter,Single,Female,Telecommunications researcher,None,Christian
3,Aethelstan Drive,Annette,Carter,12,Daughter,NA,Female,Student,None,No Religion
4,Aethelstan Drive,Denise,Ford,46,Head,Divorced,Female,Unemployed,None,Christian
4,Aethelstan Drive,Olivia,Ford,15,Daughter,NA,Female,Student,None,NA
4,Aethelstan Drive,Marcus,Ford,10,Son,NA,Male,Student,None,NA
4,Aethelstan Drive,Margaret,Ford,6,Daughter,NA,Female,Student,None,NA
5,Aethelstan Drive,Shannon,Wilkins,52,Head,Married,Female,Field trials officer,None,No Religion
5,Aethelstan Drive,Richard,Wilkins,53,Husband,Married,Male,Medical illustrator,None,No Religion
5,Aethelstan Drive,Leon,Wilkins,24,Son,Single,Male,Film/video editor,None,No Religion
5,Aethelstan Drive,William,Wilkins,16,Son,NA,Male,Student,None,No Religion
6,Aethelstan Drive,Janet,McDonald,48,Head,Single,Female,Unemployed,None,Christian
6,Aethelstan Drive,Damien,Woodward-McDonald,20,Son,Single,Male,"Designer, graphic",None,No Religion
6,Aethelstan Drive,Jeremy,Woodward-McDonald,17,Son,NA,Male,Student,None,NA
6,Aethelstan Drive,Frederick,Woodward-McDonald,10,Son,NA,Male,Student,None,NA
7,Aethelstan Drive,Harriet,Marsh,36,Head,Divorced,Female,Unemployed,None,Christian
7,Aethelstan Drive,Scott,Marsh,3,Son,NA,Male,Child,None,NA
7,Aethelstan Drive,Lynne,Atkins,19,Lodger,Single,Female,University Student,None,No Religion
7,Aethelstan Drive,Abbie,Dawson,34,Lodger,Single,Female,Unemployed,None,No Religion
7,Aethelstan Drive,Yvonne,Willis,64,Lodger,Single,Female,Medical secretary,None,No Religion
8,Aethelstan Drive,Geraldine,Smith,50,Head,Married,Female,Personnel officer,None,Muslim
8,Aethelstan Drive,Clifford,Smith,55,Husband,Married,Male,Ship broker,None,No Religion
8,Aethelstan Drive,Eric,Smith,29,Son,Single,Male,Unemployed,None,Muslim
8,Aethelstan Drive,Adam,Smith,20,Son,Single,Male,University Student,None,Muslim
9,Aethelstan Drive,Carole,Kaur,31,Head,Single,Female,Dietitian,None,No Religion
9,Aethelstan Drive,Ryan,Reynolds,47,Lodger,Single,Male,"Buyer, industrial",None,No Religion
9,Aethelstan Drive,Mary,Power,32,Lodger,Single,Female,Sport and exercise psychologist,None,Sikh
9,Aethelstan Drive,Katy,Brown,58,Lodger,Single,Female,Adult nurse,None,Christian
9,Aethelstan Drive,Charlene,Walker,37,Visitor,Single,Female,Accounting technician,None,No Religion
10,Aethelstan Drive,Sophie,Fitzgerald,40,Head,Married,Female,Contractor,None,Christian
